activity_number,activity_name,activity_hierarchy,activity_name_normalized,duration_days,profile_days_used,asset_candidate_count,review_priority,outlier_flags,candidate_slot,generated_asset_type,generated_confidence,generated_role,generated_estimated_hours,generated_profile_shape,reviewed_asset_type,reviewed_confidence,reviewed_confidence_tier,reviewed_role,reviewed_estimated_hours,reviewed_profile_shape,reviewed_is_required,label_estimated_hours,review_status,changed_fields,review_source
1061,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1061,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.0,,incidental,0.5,single_day,False,0.0,dropped,confidence,manual_first_pass
1062,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1062,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.0,,incidental,0.5,single_day,False,0.0,dropped,confidence,manual_first_pass
1064,Bubbledeck false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",bubbledeck false work,14,14,3,high,rare_shape_staged;rare_shape_inverse_bell,1,crane,0.65,lead,35.0,staged,crane,0.65,medium,lead,35.0,staged,True,35.0,accepted,,manual_first_pass
1064,Bubbledeck false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",bubbledeck false work,14,14,3,high,rare_shape_staged;rare_shape_inverse_bell,2,telehandler,0.55,support,27.5,front_loaded,telehandler,0.55,medium,support,27.5,front_loaded,True,27.5,accepted,,manual_first_pass
1064,Bubbledeck false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",bubbledeck false work,14,14,3,high,rare_shape_staged;rare_shape_inverse_bell,3,forklift,0.3,incidental,11.0,inverse_bell,forklift,0.3,low,incidental,11.0,inverse_bell,True,11.0,accepted,,manual_first_pass
1070,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",install services,3,3,3,high,,1,telehandler,0.25,lead,4.0,uniform,telehandler,0.25,low,lead,4.0,uniform,True,4.0,accepted,,manual_first_pass
1070,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",install services,3,3,3,high,,2,hoist,0.2,incidental,2.0,uniform,hoist,0.2,low,incidental,2.0,uniform,True,2.0,accepted,,manual_first_pass
1070,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",install services,3,3,3,high,,3,forklift,0.15,incidental,1.5,uniform,forklift,0.15,low,incidental,1.5,uniform,True,1.5,accepted,,manual_first_pass
1072,Concrete pour floor slab Zone [B] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1072,Concrete pour floor slab Zone [B] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1073,Concrete pour floor slab Zone [B] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1073,Concrete pour floor slab Zone [B] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1076,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",strip slab edge and set downs - tidy up,1,1,2,high,,1,telehandler,0.3,lead,1.5,single_day,ewp,0.3,low,lead,1.5,single_day,True,1.5,corrected,type,manual_first_pass
1076,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",strip slab edge and set downs - tidy up,1,1,2,high,,2,forklift,0.25,incidental,0.5,single_day,forklift,0.25,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1081,Jump the stretcher stairs,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",jump the stretcher stairs,3,3,1,high,rare_shape_single_day_mid,1,crane,0.65,lead,3.0,single_day_mid,crane,0.65,medium,lead,3.0,single_day_mid,True,3.0,accepted,,manual_first_pass
1082,Jump the Hoist,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",jump the hoist,1,1,2,high,,1,hoist,0.98,lead,6.5,single_day,hoist,0.98,high,lead,6.5,single_day,True,6.5,accepted,,manual_first_pass
1082,Jump the Hoist,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",jump the hoist,1,1,2,high,,2,crane,0.2,incidental,1.0,single_day,crane,0.2,low,incidental,1.0,single_day,True,1.0,accepted,,manual_first_pass
1087,Pour concrete columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",pour concrete columns,2,2,2,high,,1,concrete_pump,0.95,lead,8.0,single_day_end,concrete_pump,0.95,high,lead,8.0,single_day_end,True,8.0,accepted,,manual_first_pass
1087,Pour concrete columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",pour concrete columns,2,2,2,high,,2,telehandler,0.2,incidental,0.5,single_day_end,telehandler,0.2,low,incidental,0.5,single_day_end,True,0.5,accepted,,manual_first_pass
1088,Strip and remove column form work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",strip and remove column form work,1,1,2,high,,1,telehandler,0.3,lead,1.5,single_day,telehandler,0.3,low,lead,1.5,single_day,True,1.5,accepted,,manual_first_pass
1088,Strip and remove column form work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",strip and remove column form work,1,1,2,high,,2,forklift,0.25,incidental,0.5,single_day,forklift,0.25,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1091,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",install bd false work,9,9,3,high,rare_shape_staged;rare_shape_inverse_bell,1,crane,0.65,lead,23.5,staged,crane,0.65,medium,lead,23.5,staged,True,23.5,accepted,,manual_first_pass
1091,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",install bd false work,9,9,3,high,rare_shape_staged;rare_shape_inverse_bell,2,telehandler,0.55,support,18.0,front_loaded,telehandler,0.0,,support,18.0,front_loaded,False,0.0,dropped,confidence,manual_first_pass
1091,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",install bd false work,9,9,3,high,rare_shape_staged;rare_shape_inverse_bell,3,forklift,0.3,incidental,7.0,inverse_bell,forklift,0.3,low,incidental,7.0,inverse_bell,True,7.0,accepted,,manual_first_pass
1098,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",install services,1,1,3,high,,1,telehandler,0.25,lead,1.5,single_day,telehandler,0.25,low,lead,1.5,single_day,True,1.5,accepted,,manual_first_pass
1098,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",install services,1,1,3,high,,2,hoist,0.2,incidental,0.5,single_day,hoist,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1098,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",install services,1,1,3,high,,3,forklift,0.15,incidental,0.5,single_day,forklift,0.0,,incidental,0.5,single_day,False,0.0,dropped,confidence,manual_first_pass
1101,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,0,1,2,high,zero_day_asset_normalized,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1101,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,0,1,2,high,zero_day_asset_normalized,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.0,,incidental,0.5,single_day,False,0.0,dropped,confidence,manual_first_pass
1102,Concrete Pour beam + ramp infill Zone [B],"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",concrete pour beam + ramp infill zone,0,1,2,high,zero_day_asset_normalized,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1102,Concrete Pour beam + ramp infill Zone [B],"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",concrete pour beam + ramp infill zone,0,1,2,high,zero_day_asset_normalized,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1103,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1103,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.0,,incidental,0.5,single_day,False,0.0,dropped,confidence,manual_first_pass
1105,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",strip slab edge and set downs - tidy up,1,1,2,high,,1,telehandler,0.3,lead,1.5,single_day,telehandler,0.3,low,lead,1.5,single_day,True,1.5,accepted,,manual_first_pass
1105,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",strip slab edge and set downs - tidy up,1,1,2,high,,2,forklift,0.25,incidental,0.5,single_day,forklift,0.25,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1115,Pour concrete columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",pour concrete columns,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1115,Pour concrete columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",pour concrete columns,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,ewp,0.75,high,incidental,0.5,single_day,True,0.5,corrected,type|confidence,manual_first_pass
1116,Strip and remove column form work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",strip and remove column form work,1,1,2,high,,1,telehandler,0.3,lead,1.5,single_day,ewp,0.5,medium,lead,1.5,single_day,True,1.5,corrected,type|confidence,manual_first_pass
1116,Strip and remove column form work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",strip and remove column form work,1,1,2,high,,2,forklift,0.25,incidental,0.5,single_day,forklift,0.25,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1128,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",install services,1,1,3,high,,1,telehandler,0.25,lead,1.5,single_day,telehandler,0.25,low,lead,1.5,single_day,True,1.5,accepted,,manual_first_pass
1128,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",install services,1,1,3,high,,2,hoist,0.2,incidental,0.5,single_day,hoist,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1128,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",install services,1,1,3,high,,3,forklift,0.15,incidental,0.5,single_day,forklift,0.15,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1131,Concrete pour floor slab Zone [B] pour (3),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1131,Concrete pour floor slab Zone [B] pour (3),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1132,Concrete pour floor slab Zone [B] pour (4) (Exlcudes 1.2m strip adjacent West Precast),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,4,high,four_asset_activity;multi_lead_activity,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1132,Concrete pour floor slab Zone [B] pour (4) (Exlcudes 1.2m strip adjacent West Precast),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,4,high,four_asset_activity;multi_lead_activity,2,crane,0.9,lead,6.5,single_day,crane,0.9,high,lead,6.5,single_day,True,6.5,accepted,,manual_first_pass
1132,Concrete pour floor slab Zone [B] pour (4) (Exlcudes 1.2m strip adjacent West Precast),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,4,high,four_asset_activity;multi_lead_activity,3,telehandler,0.3,incidental,1.0,single_day,telehandler,0.3,low,incidental,1.0,single_day,True,1.0,accepted,,manual_first_pass
1132,Concrete pour floor slab Zone [B] pour (4) (Exlcudes 1.2m strip adjacent West Precast),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,4,high,four_asset_activity;multi_lead_activity,4,forklift,0.25,incidental,1.0,single_day,forklift,0.25,low,incidental,1.0,single_day,True,1.0,accepted,,manual_first_pass
1134,Concrete Pour (5) - Install Threaded Rod and Pour 1.2m Strip,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour - install threaded rod and pour.2m strip,2,2,4,high,four_asset_activity,1,concrete_pump,0.95,lead,8.0,single_day_end,concrete_pump,0.95,high,lead,8.0,single_day_end,True,8.0,accepted,,manual_first_pass
1134,Concrete Pour (5) - Install Threaded Rod and Pour 1.2m Strip,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour - install threaded rod and pour.2m strip,2,2,4,high,four_asset_activity,2,crane,0.65,support,5.5,uniform,crane,0.65,medium,support,0.5,uniform,True,0.5,corrected,estimated_hours,manual_first_pass
1134,Concrete Pour (5) - Install Threaded Rod and Pour 1.2m Strip,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour - install threaded rod and pour.2m strip,2,2,4,high,four_asset_activity,3,telehandler,0.3,incidental,0.5,single_day_end,telehandler,0.0,,incidental,0.5,single_day_end,False,0.0,dropped,confidence,manual_first_pass
1134,Concrete Pour (5) - Install Threaded Rod and Pour 1.2m Strip,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour - install threaded rod and pour.2m strip,2,2,4,high,four_asset_activity,4,forklift,0.25,incidental,1.0,uniform,forklift,0.0,,incidental,1.0,uniform,False,0.0,dropped,confidence,manual_first_pass
1137,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",strip slab edge and set downs - tidy up,1,1,2,high,,1,telehandler,0.3,lead,1.5,single_day,telehandler,0.3,low,lead,1.5,single_day,True,1.5,accepted,,manual_first_pass
1137,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",strip slab edge and set downs - tidy up,1,1,2,high,,2,forklift,0.25,incidental,0.5,single_day,forklift,0.25,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1143,Jump the Hoist,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",jump the hoist,1,1,2,high,,1,hoist,0.98,lead,6.5,single_day,hoist,0.98,high,lead,6.5,single_day,True,6.5,accepted,,manual_first_pass
1143,Jump the Hoist,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",jump the hoist,1,1,2,high,,2,crane,0.2,incidental,1.0,single_day,crane,0.2,low,incidental,1.0,single_day,True,1.0,accepted,,manual_first_pass
1146,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",install bd false work,7,7,3,high,rare_shape_inverse_bell,1,crane,0.65,lead,41.0,bell,crane,0.65,medium,lead,41.0,front_loaded,True,41.0,corrected,profile_shape,manual_first_pass
1146,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",install bd false work,7,7,3,high,rare_shape_inverse_bell,2,telehandler,0.55,support,14.0,front_loaded,telehandler,0.0,,support,14.0,front_loaded,False,0.0,dropped,confidence,manual_first_pass
1146,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",install bd false work,7,7,3,high,rare_shape_inverse_bell,3,forklift,0.3,incidental,5.5,inverse_bell,forklift,0.3,low,incidental,5.5,inverse_bell,True,5.5,accepted,,manual_first_pass
1155,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",install services,2,2,3,high,,1,telehandler,0.25,lead,2.5,uniform,telehandler,0.25,low,lead,2.5,uniform,True,2.5,accepted,,manual_first_pass
1155,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",install services,2,2,3,high,,2,hoist,0.2,incidental,1.5,uniform,hoist,0.2,low,incidental,1.5,uniform,True,1.5,accepted,,manual_first_pass
1155,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",install services,2,2,3,high,,3,forklift,0.15,incidental,1.0,uniform,forklift,0.15,low,incidental,1.0,uniform,True,1.0,accepted,,manual_first_pass
1158,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",concrete pour floor slab zone pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1158,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",concrete pour floor slab zone pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1159,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",concrete pour floor slab zone pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1159,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",concrete pour floor slab zone pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1161,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",strip slab edge and set downs - tidy up,4,4,2,high,,1,telehandler,0.3,lead,5.0,uniform,telehandler,0.3,low,lead,5.0,uniform,True,5.0,accepted,,manual_first_pass
1161,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",strip slab edge and set downs - tidy up,4,4,2,high,,2,forklift,0.25,incidental,2.5,back_loaded,forklift,0.25,low,incidental,2.5,back_loaded,True,2.5,accepted,,manual_first_pass
1166,Jump the stretcher stairs,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",jump the stretcher stairs,4,4,1,high,rare_shape_single_day_mid,1,crane,0.65,lead,3.0,single_day_mid,crane,0.65,medium,lead,3.0,single_day_mid,True,3.0,accepted,,manual_first_pass
1168,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",install bd false work,8,8,3,high,rare_shape_staged;rare_shape_inverse_bell,1,crane,0.65,lead,17.5,staged,crane,0.65,medium,lead,17.5,staged,True,17.5,accepted,,manual_first_pass
1168,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",install bd false work,8,8,3,high,rare_shape_staged;rare_shape_inverse_bell,2,telehandler,0.55,support,16.0,front_loaded,telehandler,0.55,medium,support,16.0,front_loaded,True,16.0,accepted,,manual_first_pass
1168,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",install bd false work,8,8,3,high,rare_shape_staged;rare_shape_inverse_bell,3,forklift,0.3,incidental,6.0,inverse_bell,forklift,0.3,low,incidental,6.0,inverse_bell,True,6.0,accepted,,manual_first_pass
1177,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",install services,2,2,3,high,,1,telehandler,0.25,lead,2.5,uniform,telehandler,0.25,low,lead,2.5,uniform,True,2.5,accepted,,manual_first_pass
