activity_number,activity_name,activity_hierarchy,activity_name_normalized,duration_days,profile_days_used,asset_requirement_count,review_source,crane_required,crane_confidence,crane_role,crane_estimated_hours,crane_profile_shape,hoist_required,hoist_confidence,hoist_role,hoist_estimated_hours,hoist_profile_shape,loading_bay_required,loading_bay_confidence,loading_bay_role,loading_bay_estimated_hours,loading_bay_profile_shape,ewp_required,ewp_confidence,ewp_role,ewp_estimated_hours,ewp_profile_shape,concrete_pump_required,concrete_pump_confidence,concrete_pump_role,concrete_pump_estimated_hours,concrete_pump_profile_shape,excavator_required,excavator_confidence,excavator_role,excavator_estimated_hours,excavator_profile_shape,forklift_required,forklift_confidence,forklift_role,forklift_estimated_hours,forklift_profile_shape,telehandler_required,telehandler_confidence,telehandler_role,telehandler_estimated_hours,telehandler_profile_shape,compactor_required,compactor_confidence,compactor_role,compactor_estimated_hours,compactor_profile_shape
1076,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",strip slab edge and set downs - tidy up,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.3,lead,1.5,single_day,False,,,0.0,,False,,,0.0,,True,0.25,incidental,0.5,single_day,False,,,0.0,,False,,,0.0,
1081,Jump the stretcher stairs,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",jump the stretcher stairs,3,3,1,manual_first_pass,True,0.65,lead,3.0,single_day_mid,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1082,Jump the Hoist,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",jump the hoist,1,1,2,manual_first_pass,True,0.2,incidental,1.0,single_day,True,0.98,lead,6.5,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1087,Pour concrete columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",pour concrete columns,2,2,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day_end,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day_end,False,,,0.0,
1088,Strip and remove column form work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",strip and remove column form work,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.25,incidental,0.5,single_day,True,0.3,lead,1.5,single_day,False,,,0.0,
1091,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",install bd false work,9,9,2,manual_first_pass,True,0.65,lead,23.5,staged,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.3,incidental,7.0,inverse_bell,False,,,0.0,,False,,,0.0,
1098,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",install services,1,1,2,manual_first_pass,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.25,lead,1.5,single_day,False,,,0.0,
1101,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,0,1,1,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1102,Concrete Pour beam + ramp infill Zone [B],"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",concrete pour beam + ramp infill zone,0,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1103,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,1,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1105,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",strip slab edge and set downs - tidy up,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.25,incidental,0.5,single_day,True,0.3,lead,1.5,single_day,False,,,0.0,
1115,Pour concrete columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",pour concrete columns,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.75,incidental,0.5,single_day,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1116,Strip and remove column form work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",strip and remove column form work,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.5,lead,1.5,single_day,False,,,0.0,,False,,,0.0,,True,0.25,incidental,0.5,single_day,False,,,0.0,,False,,,0.0,
1128,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",install services,1,1,3,manual_first_pass,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.15,incidental,0.5,single_day,True,0.25,lead,1.5,single_day,False,,,0.0,
1131,Concrete pour floor slab Zone [B] pour (3),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1132,Concrete pour floor slab Zone [B] pour (4) (Exlcudes 1.2m strip adjacent West Precast),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,4,manual_first_pass,True,0.9,lead,6.5,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,True,0.25,incidental,1.0,single_day,True,0.3,incidental,1.0,single_day,False,,,0.0,
1134,Concrete Pour (5) - Install Threaded Rod and Pour 1.2m Strip,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour - install threaded rod and pour.2m strip,2,2,2,manual_first_pass,True,0.65,support,0.5,uniform,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day_end,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1137,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",strip slab edge and set downs - tidy up,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.25,incidental,0.5,single_day,True,0.3,lead,1.5,single_day,False,,,0.0,
1143,Jump the Hoist,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",jump the hoist,1,1,2,manual_first_pass,True,0.2,incidental,1.0,single_day,True,0.98,lead,6.5,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1146,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",install bd false work,7,7,2,manual_first_pass,True,0.65,lead,41.0,front_loaded,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.3,incidental,5.5,inverse_bell,False,,,0.0,,False,,,0.0,
1155,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",install services,2,2,3,manual_first_pass,False,,,0.0,,True,0.2,incidental,1.5,uniform,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.15,incidental,1.0,uniform,True,0.25,lead,2.5,uniform,False,,,0.0,
1158,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",concrete pour floor slab zone pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1159,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",concrete pour floor slab zone pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1161,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",strip slab edge and set downs - tidy up,4,4,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.25,incidental,2.5,back_loaded,True,0.3,lead,5.0,uniform,False,,,0.0,
1166,Jump the stretcher stairs,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",jump the stretcher stairs,4,4,1,manual_first_pass,True,0.65,lead,3.0,single_day_mid,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1168,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",install bd false work,8,8,3,manual_first_pass,True,0.65,lead,17.5,staged,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.3,incidental,6.0,inverse_bell,True,0.55,support,16.0,front_loaded,False,,,0.0,
1177,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",install services,2,2,3,manual_first_pass,False,,,0.0,,True,0.2,incidental,1.5,uniform,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.15,incidental,1.0,uniform,True,0.25,lead,2.5,uniform,False,,,0.0,
1180,Concrete pour floor slab and Columns Zone [B] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",concrete pour floor slab and columns zone pour,4,4,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,32.5,back_loaded,False,,,0.0,,False,,,0.0,,True,0.2,incidental,2.0,back_loaded,False,,,0.0,
1181,Concrete pour floor slab and Columns Zone [B] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",concrete pour floor slab and columns zone pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1192,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",pour columns to pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1198,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",pour columns pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1200,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","dog box works, caulking panels",1,1,2,manual_first_pass,True,1.0,lead,2.5,single_day,False,,,0.0,,False,,,0.0,,True,0.7,lead,5.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1202,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,manual_first_pass,True,0.65,lead,2.5,single_day,False,,,0.0,,False,,,0.0,,True,0.7,lead,5.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1204,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",complete levelling pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1206,Day 7 - Complete levelling pour 2 (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",complete levelling pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1208,Day 8 - Commence shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",commence shelf angle and sealing deck,1,1,2,manual_first_pass,True,0.65,lead,2.5,single_day,False,,,0.0,,False,,,0.0,,True,0.7,lead,5.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1210,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",reo delivery first thing,1,1,3,manual_first_pass,True,0.8,support,2.0,single_day,False,,,0.0,,True,0.85,lead,4.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.8,support,4.0,single_day,False,,,0.0,,False,,,0.0,
1213,Day 9 - Continue shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",continue shelf angle and sealing deck,1,1,2,manual_first_pass,True,0.65,lead,2.5,single_day,False,,,0.0,,False,,,0.0,,True,0.7,lead,5.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1216,"Day 10 - Complete shelf angle and sealing deck, and pre pour works (6 men)","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","complete shelf angle and sealing deck, and pre pour works",2,2,2,manual_first_pass,True,0.65,lead,5.0,uniform,False,,,0.0,,False,,,0.0,,True,0.7,lead,10.0,uniform,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1219,"Day 11 - Slab pour, pour 1","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","slab pour, pour",1,1,1,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1220,"Day 12 - Slab pour, pour 2","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","slab pour, pour",1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1231,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",pour columns to pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1237,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",pour columns pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1239,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","dog box works, caulking panels",1,1,2,manual_first_pass,True,0.65,lead,2.5,single_day,False,,,0.0,,False,,,0.0,,True,0.7,lead,5.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1241,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,manual_first_pass,True,0.65,lead,2.5,single_day,False,,,0.0,,False,,,0.0,,True,0.7,lead,5.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1243,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",complete levelling pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1245,Day 7 - Complete levelling pour 2 (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",complete levelling pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1247,Day 8 - Commence shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",commence shelf angle and sealing deck,1,1,2,manual_first_pass,True,0.65,lead,2.5,single_day,False,,,0.0,,False,,,0.0,,True,0.7,lead,5.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1249,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",reo delivery first thing,1,1,4,manual_first_pass,True,0.35,support,2.0,single_day,False,,,0.0,,True,0.85,lead,4.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.7,support,2.0,single_day,True,0.3,incidental,1.0,single_day,False,,,0.0,
1252,Day 9 - Continue shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",continue shelf angle and sealing deck,1,1,2,manual_first_pass,True,0.65,lead,2.5,single_day,False,,,0.0,,False,,,0.0,,True,0.7,lead,5.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1255,"Day 10 - Complete shelf angle and sealing deck, and pre pour works (6 men)","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","complete shelf angle and sealing deck, and pre pour works",1,1,2,manual_first_pass,True,0.65,lead,2.5,single_day,False,,,0.0,,False,,,0.0,,True,0.7,lead,5.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1258,"Day 11 - Slab pour, pour 1","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","slab pour, pour",1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1259,"Day 12 - Slab pour, pour 2","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","slab pour, pour",1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1270,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",pour columns to pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1276,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",pour columns pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1278,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","dog box works, caulking panels",1,1,2,manual_first_pass,True,0.65,lead,2.5,single_day,False,,,0.0,,False,,,0.0,,True,0.7,lead,5.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1280,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,manual_first_pass,True,0.65,lead,2.5,single_day,False,,,0.0,,False,,,0.0,,True,0.7,lead,5.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1282,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",complete levelling pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
